rating|Tariff|TZName[2]|3|6|?|?|?||||
rating|Tariff|TZName[3]|3|6|?|?|?||||
rating|Tariff|TZName[4]|2|6|?|?|||||
rating|Tariff|TZName[5]|2|6|?|?|||||
rating|Tariff|TZName[6]|1|6|?||||||
rating|TariffClass|ToDate|0|0|||||||
rating|TariffClass|TariffClass|0|0|||||||
rating|TariffClass|ServiceName|0|0|||||||
rating|TariffClass|RateCCN|0|0|||||||
rating|TariffClass|PriceIncVAT|0|0|||||||
rating|TariffClass|PriceExclVAT|0|0|||||||
rating|TariffClass|Inclamt|0|0|||||||
rating|TariffClass|FromDate|0|0|||||||
rating|TariffClass|BillCode|0|0|||||||
rating|TariffClass|Bdest|0|0|||||||
rating|TCC|TCCRule|3|0|0|1|2||||
rating|TCC|ErrorCode|9|0|0|7009|7010|7012|7021|7030|9000
rating|TCC|DurTo|5|0|0|1|10|11|524288||
rating|TCC|DialType|6|0|0|4|5|7|10|15|
rating|TCC|BType|1|0|0||||||
rating|TCC|Brand|1|0|1||||||
rating|TCC|BDestPref|1|0|||||||
rating|TCC|BDest|13|0||#MOBILE|*VASSMS|DNA118|DNAMOB|FIXED|INTOTHERS
rating|TCC|BCCN|41|0|2|3|4|7|9|10|11
rating|TCC|GsmBnr|2|0||***|||||
rating|TCC|MinBillQty|1|0|0||||||
rating|TCC|Pulses|3|0|0|1|2||||
rating|TCC|TariffRule|1|0|1||||||
rating|TCC|TCC|83|0|1010|1015|1016|1017|1020|1021|1023
rating|TCC|TCCName|77|0|Calls to access (company) numbers|Calls to domestic fixed numbers|Calls to international location (via DNA)|Calls to international location (via some other operat|Calls to mobile network (DNA)|Calls to mobile network (other operator)|Calls to non-access (company) numbers
rating|TCC|TCCPayer|3|0|0|1|2||||
rating|TCC|TrafficType|2|0|1|2|||||
rating|TCC|ValidFrom|9|0|01/01/01|01/01/09|01/01/10|01/06/10|01/08/11|01/01/12|01/01/13
rating|TCC|ValidTo|7|0|10/03/10|31/10/14|01/01/20|31/12/25|31/12/30|31/12/40|31/12/49
rating|TCCBarr|ValidTo|1|0|31/12/49||||||
rating|TCCBarr|TCC|2|0|1020|4011|||||
rating|TCCBarr|ValidFrom|2|0|01/07/13|04/12/14|||||
rating|TCCBarr|GsmBnr|2|0|0440331652|mms|||||
rating|TCCBarr|ErrorCode|2|0|7011|9005|||||
rating|TCCBarr|TCCPName|2|0|Customer service number (dot-6921)|National MMS data usage free for all|||||
rating|TCCError|ErrorCode|6|0|0|7005|7007|7010|7011|7013|
rating|TCCError|ErrorValue|3|0|0|512000|KEEP_DATA_CDRS||||
rating|TCCError|TCC|9|0|1811|1812|1813|1814|1819|1865|2030
rating|TCCError|TCCPName|5|0||Keep substypes all datacdrs|Minimidata amount for B2C|Minimidata amount for Daily|Zero charge means non-billable||
rating|TCCError|ValidFrom|4|0|01/01/01|01/01/03|01/01/13|01/03/16|||
rating|TCCError|ValidTo|4|0|31/12/30|31/12/40|31/12/45|31/12/49|||
rating|TCCError|ValueType|5|0|B2C|DAILYDATA|NO-CHARGE|Pulses|VOICE32||
rating|TCCGroup|TCCGroupAction|0|0|||||||
rating|TCCGroup|TCCGroupCode|0|0|||||||
rating|TCCGroup|TCCGroupName|0|0|||||||
rating|TCCGroup|TCCGroupType|0|0|||||||
rating|TCCGroup|ValidFrom|0|0|||||||
rating|TCCGroup|ValidTo|0|0|||||||
rating|TCCGroupItem|ValidTo|1|0|31/12/40||||||
rating|TCCGroupItem|TCC|7|0|1600|1700|2040|2600|2700|3600|4611
rating|TCCGroupItem|ValidFrom|1|0|01/01/01||||||
rating|TCCGroupItem|TCCGroupCode|2|0|RECEIVED|ROAMING|||||
rating|TCCMPMLink|BCC|5|0|100|102|104|105|106||
rating|TCCMPMLink|TCC|26|0|1015|1030|1035|1180|1181|1230|1500
rating|TCCMPMLink|Brand|1|0|1||||||
rating|Telecompany|TCName|61|0|Academica Oy|AinaCom Oy|Alajärven Puhelinosuuskunta|BT Nordics Limited, sivuliike|DigiCenter Oy|DNA Finland Oy|DNA Palvelut Oy
rating|Telecompany|BDest|2|0|DNAMOB|Mobile|||||
rating|Telecompany|TCCode|87|0|00|01|02|03|04|05|06
rating|TriggerConf|TriggerConfID|2|0|ALL|MsOwner|||||
rating|TriggerConf|EventRule|1|0|4||||||
rating|TriggerConf|Prior|2|0|0|1|||||
rating|TriggerConf|TCName|2|0|Re-rate all subs|Subscription event|||||
rating|TriggerConf|ValidFrom|2|0|01/01/14|01/01/15|||||
rating|TriggerConf|ValidTo|1|0|31/12/49||||||
rating|TriggerEvent|ChangedFields|2|0|TsEnd|TsEnd||||||
rating|TriggerEvent|Activated|162|0|07/09/2015 08:51:08.087|07/09/2015 08:51:08.102|07/09/2015 08:51:08.139|08/09/2015 12:17:07.313|08/09/2015 12:39:38.674|09/09/2015 11:18:10.543|10/09/2015 05:26:56.251
rating|TriggerEvent|Created|162|0|03/09/2015 15:12:14.322|03/09/2015 15:58:34.323|04/09/2015 10:35:40.889|08/09/2015 12:17:06.430|08/09/2015 12:39:31.191|09/09/2015 11:18:01.659|10/09/2015 05:26:55.895
rating|TriggerEvent|Duration|1|0|0||||||
rating|TriggerEvent|EventSource|1|0|MODIFY||||||
